date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:57:54	1915/1915	U-----	200	untouched ('OK')	text/html	date:Mon,%2026%20Apr%202021%2010:56:11%20GMT	https://www.tareequljannah.com/robots.txt		(from )
03:57:55	167311/167311	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2026%20Apr%202021%2010:57:57%20GMT	https://www.tareequljannah.com/mytjhome	E:/htttrack/a/www.tareequljannah.com/mytjhome.html	(from )
03:58:00	155758/155758	U-----	200	untouched ('OK')	text/css	date:Mon,%2030%20Sep%202019%2001:48:02%20GMT	https://www.tareequljannah.com/resources/newassets/styles/bootstrap.min.css	E:/htttrack/a/www.tareequljannah.com/resources/newassets/styles/bootstrap.min.css	(from https://www.tareequljannah.com/mytjhome)
03:58:02	378758/378758	U-----	200	untouched ('OK')	text/css	date:Mon,%2030%20Sep%202019%2001:48:02%20GMT	https://www.tareequljannah.com/resources/newassets/styles/uikit.css	E:/htttrack/a/www.tareequljannah.com/resources/newassets/styles/uikit.css	(from https://www.tareequljannah.com/mytjhome)
03:58:02	0/0	U-----	200	untouched ('OK')	text/css	date:Mon,%2030%20Sep%202019%2001:48:02%20GMT	https://www.tareequljannah.com/resources/newassets/styles/responsive.css	E:/htttrack/a/www.tareequljannah.com/resources/newassets/styles/responsive.css	(from https://www.tareequljannah.com/mytjhome)
03:58:07	69054/69054	U-----	200	untouched ('OK')	text/css	date:Mon,%2030%20Sep%202019%2001:48:02%20GMT	https://www.tareequljannah.com/resources/newassets/styles/style.css	E:/htttrack/a/www.tareequljannah.com/resources/newassets/styles/style.css	(from https://www.tareequljannah.com/mytjhome)
03:58:08	15229/15229	U-----	200	untouched ('OK')	text/css	date:Tue,%2007%20Jan%202020%2017:15:40%20GMT	https://www.tareequljannah.com/resources/newassets/styles/global.css	E:/htttrack/a/www.tareequljannah.com/resources/newassets/styles/global.css	(from https://www.tareequljannah.com/mytjhome)
03:58:08	186530/186530	U-----	200	untouched ('OK')	text/css	date:Mon,%2030%20Sep%202019%2001:48:02%20GMT	https://www.tareequljannah.com/resources/newassets/styles/materialize.css	E:/htttrack/a/www.tareequljannah.com/resources/newassets/styles/materialize.css	(from https://www.tareequljannah.com/mytjhome)
03:58:14	342275/342275	U-----	200	untouched ('')	application/javascript	date:Mon,%2030%20Sep%202019%2001:48:02%20GMT	https://www.tareequljannah.com/resources/newassets/scripts/uikit.js	E:/htttrack/a/www.tareequljannah.com/resources/newassets/scripts/uikit.js	(from https://www.tareequljannah.com/mytjhome)
03:58:15	63985/63985	U-----	200	untouched ('')	application/javascript	date:Mon,%2030%20Sep%202019%2001:48:02%20GMT	https://www.tareequljannah.com/resources/newassets/scripts/uikit-icons.min.js	E:/htttrack/a/www.tareequljannah.com/resources/newassets/scripts/uikit-icons.min.js	(from https://www.tareequljannah.com/mytjhome)
03:58:15	43379/43379	U-----	200	untouched ('OK')	text/css	date:Mon,%2030%20Sep%202019%2001:48:02%20GMT	https://www.tareequljannah.com/resources/newassets/styles/style_blue.css	E:/htttrack/a/www.tareequljannah.com/resources/newassets/styles/style_blue.css	(from https://www.tareequljannah.com/mytjhome)
