date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:57:01	9115/9115	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f779652-239b%22	https://assets-cdn.github.com/assets/github-471cc24f410f45eb614e05e14f119e7ae78512a75a35792c9cfd6e203272b658.js	E:/htttrack/a/assets-cdn.github.com/assets/github-471cc24f410f45eb614e05e14f119e7ae78512a75a35792c9cfd6e203272b658.5b.delayed	(from https://www.tareequljannah.com/resources/core/css/bootstrap.min.css)
03:57:01	8250/8250	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Apr%202021%2010:57:03%20GMT	https://www.tareequljannah.com/ForgetPasscode	E:/htttrack/a/www.tareequljannah.com/ForgetPasscode.html	(from https://www.tareequljannah.com/StudentSignIn)
03:57:02	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Jun%202017%2007:34:36%20GMT	https://www.tareequljannah.com/resources/assets/fonts/fontawesome-webfont.eot?v=4.0.3	E:/htttrack/a/www.tareequljannah.com/resources/assets/fonts/fontawesome-webfontba72.eot	(from https://www.tareequljannah.com/resources/assets/css/font-awesome.min.css)
03:57:02	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Jun%202017%2007:34:36%20GMT	https://www.tareequljannah.com/resources/assets/fonts/fontawesome-webfont.eot?	E:/htttrack/a/www.tareequljannah.com/resources/assets/fonts/fontawesome-webfontd41d.eot	(from https://www.tareequljannah.com/resources/assets/css/font-awesome.min.css)
03:57:03	44432/44432	---M--	200	added ('OK')	application/x-font-woff	date:Sat,%2003%20Jun%202017%2007:34:36%20GMT	https://www.tareequljannah.com/resources/assets/fonts/fontawesome-webfont.woff?v=4.0.3	E:/htttrack/a/www.tareequljannah.com/resources/assets/fonts/fontawesome-webfontba72.woff	(from https://www.tareequljannah.com/resources/assets/css/font-awesome.min.css)
03:57:04	15572/15572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Jun%202017%2007:34:36%20GMT	https://www.tareequljannah.com/resources/assets/fonts/linecons.eot	E:/htttrack/a/www.tareequljannah.com/resources/assets/fonts/linecons.eot	(from https://www.tareequljannah.com/resources/assets/css/linecons-font-style.css)
03:57:04	80652/80652	---M--	200	added ('OK')	application/x-font-ttf	date:Sat,%2003%20Jun%202017%2007:34:36%20GMT	https://www.tareequljannah.com/resources/assets/fonts/fontawesome-webfont.ttf?v=4.0.3	E:/htttrack/a/www.tareequljannah.com/resources/assets/fonts/fontawesome-webfontba72.ttf	(from https://www.tareequljannah.com/resources/assets/css/font-awesome.min.css)
03:57:05	202148/202148	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Jun%202017%2007:34:36%20GMT	https://www.tareequljannah.com/resources/assets/fonts/fontawesome-webfont.svg?v=4.0.3	E:/htttrack/a/www.tareequljannah.com/resources/assets/fonts/fontawesome-webfontba72.svg	(from https://www.tareequljannah.com/resources/assets/css/font-awesome.min.css)
03:57:05	1084/1084	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jun%202017%2007:35:54%20GMT	https://www.tareequljannah.com/resources/assets/images/jquery.fs.boxer-icons.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/jquery.fs.boxer-icons.png	(from https://www.tareequljannah.com/resources/assets/css/jquery.fs.boxer.css)
03:57:05	1849/1849	---M--	200	added ('OK')	image/gif	date:Sat,%2003%20Jun%202017%2007:35:54%20GMT	https://www.tareequljannah.com/resources/assets/images/jquery.fs.boxer-loading.gif	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/jquery.fs.boxer-loading.gif	(from https://www.tareequljannah.com/resources/assets/css/jquery.fs.boxer.css)
03:57:05	1849/1849	---M--	200	added ('OK')	image/gif	date:Sat,%2003%20Jun%202017%2007:35:54%20GMT	https://www.tareequljannah.com/resources/assets/images/jquery.fs.boxer-loading-dark.gif	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/jquery.fs.boxer-loading-dark.gif	(from https://www.tareequljannah.com/resources/assets/css/jquery.fs.boxer.css)
03:57:06	116/116	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jun%202017%2007:35:54%20GMT	https://www.tareequljannah.com/resources/assets/images/grabbing.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/grabbing.png	(from https://www.tareequljannah.com/resources/assets/css/owl.carousel.css)
03:57:06	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:08%20GMT	https://www.tareequljannah.com/resources/assets/images/socials/facebook.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/socials/facebook.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
